idx,artist_id,artist_name,genre_id,genre_name,style_id,style_name,width,height,image_mode
0,22,vincent-van-gogh,4,landscape,21,Realism,750,597,RGB
1,20,rembrandt,7,religious_painting,4,Baroque,1382,1659,RGB
2,16,paul-cezanne,6,portrait,20,Post_Impressionism,1382,1673,RGB
3,17,pierre-auguste-renoir,2,genre_painting,12,Impressionism,1472,1382,RGB
4,9,ivan-aivazovsky,10,Unknown Genre,23,Romanticism,1965,1382,RGB
5,1,boris-kustodiev,2,genre_painting,3,Art_Nouveau,1710,1382,RGB
6,22,vincent-van-gogh,10,Unknown Genre,21,Realism,1382,1896,RGB
7,9,ivan-aivazovsky,4,landscape,23,Romanticism,1744,1382,RGB
8,25,albrecht-durer,7,religious_painting,17,Northern_Renaissance,1382,2149,RGB
9,11,john-singer-sargent,6,portrait,21,Realism,1382,2341,RGB
10,9,ivan-aivazovsky,4,landscape,23,Romanticism,2126,1382,RGB
11,14,nicholas-roerich,2,genre_painting,24,Symbolism,1423,1382,RGB
12,14,nicholas-roerich,4,landscape,24,Symbolism,2327,1382,RGB
13,1,boris-kustodiev,6,portrait,21,Realism,1382,1806,RGB
14,17,pierre-auguste-renoir,6,portrait,12,Impressionism,1382,1731,RGB
15,12,marc-chagall,9,still_life,15,Naive_Art_Primitivism,1382,1777,RGB
16,22,vincent-van-gogh,8,sketch_and_study,21,Realism,1382,2370,RGB
17,7,gustave-dore,3,illustration,23,Romanticism,1382,1864,RGB
18,9,ivan-aivazovsky,4,landscape,23,Romanticism,1706,1382,RGB
19,7,gustave-dore,3,illustration,23,Romanticism,1382,1849,RGB
20,20,rembrandt,8,sketch_and_study,4,Baroque,1382,1664,RGB
21,18,pyotr-konchalovsky,4,landscape,21,Realism,1382,2002,RGB
22,17,pierre-auguste-renoir,1,cityscape,12,Impressionism,1940,1382,RGB
23,13,martiros-saryan,8,sketch_and_study,9,Expressionism,1883,1382,RGB
24,20,rembrandt,6,portrait,4,Baroque,1382,1656,RGB
25,4,claude-monet,1,cityscape,12,Impressionism,1727,1382,RGB
26,14,nicholas-roerich,4,landscape,24,Symbolism,1763,1382,RGB
27,13,martiros-saryan,10,Unknown Genre,9,Expressionism,1382,1864,RGB
28,10,ivan-shishkin,8,sketch_and_study,21,Realism,2236,1382,RGB
29,22,vincent-van-gogh,5,nude_painting,21,Realism,1382,1832,RGB
30,22,vincent-van-gogh,6,portrait,21,Realism,1382,1808,RGB
31,25,albrecht-durer,7,religious_painting,17,Northern_Renaissance,1382,2406,RGB
32,16,paul-cezanne,9,still_life,20,Post_Impressionism,1746,1382,RGB
33,12,marc-chagall,10,Unknown Genre,15,Naive_Art_Primitivism,1382,1857,RGB
34,15,pablo-picasso,6,portrait,9,Expressionism,1382,1832,RGB
35,9,ivan-aivazovsky,4,landscape,23,Romanticism,1927,1382,RGB
36,12,marc-chagall,7,religious_painting,15,Naive_Art_Primitivism,1382,1744,RGB
37,14,nicholas-roerich,10,Unknown Genre,3,Art_Nouveau,1382,2068,RGB
38,19,raphael-kirchner,5,nude_painting,3,Art_Nouveau,1382,2096,RGB
39,20,rembrandt,6,portrait,4,Baroque,1382,1725,RGB
40,17,pierre-auguste-renoir,9,still_life,12,Impressionism,1382,1700,RGB
41,8,ilya-repin,6,portrait,21,Realism,1382,1943,RGB
42,14,nicholas-roerich,8,sketch_and_study,24,Symbolism,1902,1382,RGB
43,6,eugene-boudin,4,landscape,12,Impressionism,2258,1382,RGB
44,17,pierre-auguste-renoir,9,still_life,12,Impressionism,1987,1382,RGB
45,21,salvador-dali,2,genre_painting,9,Expressionism,1382,1908,RGB
46,25,albrecht-durer,6,portrait,17,Northern_Renaissance,1382,2062,RGB
47,16,paul-cezanne,4,landscape,20,Post_Impressionism,1889,1382,RGB
48,22,vincent-van-gogh,8,sketch_and_study,21,Realism,1382,2606,RGB
49,15,pablo-picasso,2,genre_painting,20,Post_Impressionism,1382,1644,RGB
50,16,paul-cezanne,6,portrait,20,Post_Impressionism,1382,1868,RGB
51,19,raphael-kirchner,2,genre_painting,3,Art_Nouveau,1382,2144,RGB
52,22,vincent-van-gogh,8,sketch_and_study,21,Realism,2678,1382,RGB
53,21,salvador-dali,10,Unknown Genre,12,Impressionism,1382,1753,RGB
54,16,paul-cezanne,4,landscape,20,Post_Impressionism,1751,1382,RGB
55,20,rembrandt,6,portrait,4,Baroque,1382,1675,RGB
56,1,boris-kustodiev,1,cityscape,21,Realism,1924,1382,RGB
57,16,paul-cezanne,4,landscape,12,Impressionism,1382,1666,RGB
58,1,boris-kustodiev,5,nude_painting,21,Realism,1382,1542,RGB
59,14,nicholas-roerich,4,landscape,24,Symbolism,2357,1382,RGB
60,25,albrecht-durer,6,portrait,17,Northern_Renaissance,1382,1756,RGB
61,25,albrecht-durer,2,genre_painting,17,Northern_Renaissance,1382,2003,RGB
62,7,gustave-dore,3,illustration,23,Romanticism,1382,1722,RGB
63,14,nicholas-roerich,10,Unknown Genre,3,Art_Nouveau,2105,1382,RGB
64,11,john-singer-sargent,2,genre_painting,21,Realism,2245,1382,RGB
65,9,ivan-aivazovsky,10,Unknown Genre,23,Romanticism,1382,1663,RGB
66,7,gustave-dore,3,illustration,23,Romanticism,1382,1816,RGB
67,17,pierre-auguste-renoir,6,portrait,12,Impressionism,1382,1566,RGB
68,12,marc-chagall,2,genre_painting,15,Naive_Art_Primitivism,1382,2764,RGB
69,8,ilya-repin,7,religious_painting,21,Realism,1941,1382,RGB
70,25,albrecht-durer,6,portrait,17,Northern_Renaissance,1382,1974,RGB
71,4,claude-monet,4,landscape,12,Impressionism,2045,1382,RGB
72,22,vincent-van-gogh,2,genre_painting,21,Realism,1382,2004,RGB
73,21,salvador-dali,7,religious_painting,24,Symbolism,1893,1382,RGB
74,5,edgar-degas,6,portrait,12,Impressionism,1382,2212,RGB
75,17,pierre-auguste-renoir,6,portrait,12,Impressionism,1382,1682,RGB
76,3,childe-hassam,1,cityscape,12,Impressionism,1685,1382,RGB
77,16,paul-cezanne,4,landscape,12,Impressionism,1906,1382,RGB
78,4,claude-monet,4,landscape,12,Impressionism,1382,1382,RGB
79,2,camille-pissarro,1,cityscape,12,Impressionism,1668,1382,RGB
80,22,vincent-van-gogh,4,landscape,20,Post_Impressionism,1899,1382,RGB
81,4,claude-monet,2,genre_painting,12,Impressionism,1552,1382,RGB
82,7,gustave-dore,3,illustration,23,Romanticism,1382,1744,RGB
83,14,nicholas-roerich,4,landscape,24,Symbolism,2108,1382,RGB
84,17,pierre-auguste-renoir,10,Unknown Genre,12,Impressionism,1752,1382,RGB
85,4,claude-monet,1,cityscape,12,Impressionism,2146,1382,RGB
86,11,john-singer-sargent,1,cityscape,12,Impressionism,1995,1382,RGB
87,18,pyotr-konchalovsky,2,genre_painting,20,Post_Impressionism,1968,1382,RGB
88,1,boris-kustodiev,1,cityscape,3,Art_Nouveau,1845,1382,RGB
89,17,pierre-auguste-renoir,5,nude_painting,12,Impressionism,1776,1382,RGB
90,16,paul-cezanne,2,genre_painting,12,Impressionism,2462,1382,RGB
91,12,marc-chagall,10,Unknown Genre,9,Expressionism,1842,1382,RGB
92,5,edgar-degas,4,landscape,12,Impressionism,1939,1382,RGB
93,8,ilya-repin,6,portrait,21,Realism,1382,1601,RGB
94,5,edgar-degas,4,landscape,12,Impressionism,2050,1382,RGB
95,14,nicholas-roerich,4,landscape,24,Symbolism,1823,1382,RGB
96,15,pablo-picasso,2,genre_painting,12,Impressionism,2126,1382,RGB
97,2,camille-pissarro,4,landscape,12,Impressionism,1865,1382,RGB
98,20,rembrandt,10,Unknown Genre,4,Baroque,1382,1718,RGB
99,15,pablo-picasso,9,still_life,7,Cubism,1669,1382,RGB
100,25,albrecht-durer,2,genre_painting,17,Northern_Renaissance,1532,1382,RGB
101,14,nicholas-roerich,4,landscape,24,Symbolism,2073,1382,RGB
102,18,pyotr-konchalovsky,9,still_life,9,Expressionism,1632,1382,RGB
103,15,pablo-picasso,10,Unknown Genre,7,Cubism,2229,1382,RGB
104,21,salvador-dali,4,landscape,20,Post_Impressionism,1382,1718,RGB
105,14,nicholas-roerich,8,sketch_and_study,24,Symbolism,2196,1381,RGB
106,1,boris-kustodiev,5,nude_painting,3,Art_Nouveau,1382,1596,RGB
107,9,ivan-aivazovsky,4,landscape,23,Romanticism,2211,1382,RGB
108,15,pablo-picasso,9,still_life,7,Cubism,1863,1382,RGB
109,14,nicholas-roerich,2,genre_painting,24,Symbolism,2155,1382,RGB
110,22,vincent-van-gogh,4,landscape,20,Post_Impressionism,1804,1382,RGB
111,20,rembrandt,10,Unknown Genre,4,Baroque,1710,1382,RGB
112,14,nicholas-roerich,4,landscape,24,Symbolism,2386,1382,RGB
113,22,vincent-van-gogh,10,Unknown Genre,21,Realism,1382,2329,RGB
114,20,rembrandt,2,genre_painting,4,Baroque,1917,1382,RGB
115,18,pyotr-konchalovsky,2,genre_painting,20,Post_Impressionism,1382,1924,RGB
116,3,childe-hassam,4,landscape,12,Impressionism,1552,1382,RGB
117,18,pyotr-konchalovsky,4,landscape,21,Realism,1582,1382,RGB
118,1,boris-kustodiev,8,sketch_and_study,21,Realism,1382,1808,RGB
119,6,eugene-boudin,1,cityscape,12,Impressionism,2530,1381,RGB
120,9,ivan-aivazovsky,7,religious_painting,23,Romanticism,1743,1382,RGB
121,12,marc-chagall,3,illustration,15,Naive_Art_Primitivism,1382,1803,RGB
122,4,claude-monet,1,cityscape,12,Impressionism,1944,1382,RGB
123,7,gustave-dore,3,illustration,23,Romanticism,1382,1878,RGB
124,18,pyotr-konchalovsky,4,landscape,21,Realism,1382,1584,RGB
125,25,albrecht-durer,6,portrait,17,Northern_Renaissance,1382,1691,RGB
126,3,childe-hassam,4,landscape,12,Impressionism,1946,1382,RGB
127,20,rembrandt,8,sketch_and_study,4,Baroque,1381,1682,RGB
128,22,vincent-van-gogh,8,sketch_and_study,20,Post_Impressionism,1764,1382,RGB
129,15,pablo-picasso,2,genre_painting,20,Post_Impressionism,1802,1382,RGB
130,7,gustave-dore,3,illustration,23,Romanticism,1382,1914,RGB
131,8,ilya-repin,6,portrait,21,Realism,1382,1885,RGB
132,2,camille-pissarro,4,landscape,21,Realism,1382,1807,RGB
133,22,vincent-van-gogh,2,genre_painting,21,Realism,1382,2554,RGB
134,17,pierre-auguste-renoir,4,landscape,12,Impressionism,1661,1382,RGB
135,12,marc-chagall,2,genre_painting,15,Naive_Art_Primitivism,1382,1697,RGB
136,10,ivan-shishkin,4,landscape,21,Realism,1693,1382,RGB
137,1,boris-kustodiev,2,genre_painting,3,Art_Nouveau,1979,1382,RGB
138,14,nicholas-roerich,4,landscape,24,Symbolism,2073,1382,RGB
139,12,marc-chagall,3,illustration,15,Naive_Art_Primitivism,1996,1382,RGB
140,22,vincent-van-gogh,9,still_life,21,Realism,1382,2280,RGB
141,4,claude-monet,4,landscape,12,Impressionism,1625,1382,RGB
142,14,nicholas-roerich,8,sketch_and_study,24,Symbolism,2344,1382,RGB
143,11,john-singer-sargent,1,cityscape,12,Impressionism,1381,2087,RGB
144,18,pyotr-konchalovsky,4,landscape,21,Realism,1382,1774,RGB
145,18,pyotr-konchalovsky,10,Unknown Genre,21,Realism,1856,1382,RGB
146,18,pyotr-konchalovsky,8,sketch_and_study,20,Post_Impressionism,2018,1382,RGB
147,25,albrecht-durer,6,portrait,17,Northern_Renaissance,1382,1974,RGB
148,4,claude-monet,2,genre_painting,12,Impressionism,1898,1382,RGB
149,16,paul-cezanne,4,landscape,7,Cubism,1729,1382,RGB
150,13,martiros-saryan,2,genre_painting,9,Expressionism,1736,1382,RGB
151,11,john-singer-sargent,4,landscape,12,Impressionism,1967,1382,RGB
152,22,vincent-van-gogh,4,landscape,21,Realism,2039,1382,RGB
153,18,pyotr-konchalovsky,10,Unknown Genre,20,Post_Impressionism,1382,1611,RGB
154,7,gustave-dore,3,illustration,23,Romanticism,1382,1714,RGB
155,3,childe-hassam,1,cityscape,12,Impressionism,1382,1917,RGB
156,14,nicholas-roerich,1,cityscape,3,Art_Nouveau,1741,1382,RGB
157,3,childe-hassam,10,Unknown Genre,12,Impressionism,1475,1382,RGB
158,9,ivan-aivazovsky,4,landscape,23,Romanticism,2165,1382,RGB
159,16,paul-cezanne,1,cityscape,7,Cubism,1382,1690,RGB
160,5,edgar-degas,10,Unknown Genre,12,Impressionism,1382,1818,RGB
161,2,camille-pissarro,4,landscape,12,Impressionism,2334,1382,RGB
162,22,vincent-van-gogh,4,landscape,20,Post_Impressionism,1753,1382,RGB
163,13,martiros-saryan,4,landscape,20,Post_Impressionism,1886,1382,RGB
164,22,vincent-van-gogh,8,sketch_and_study,21,Realism,1382,2180,RGB
165,12,marc-chagall,7,religious_painting,15,Naive_Art_Primitivism,1382,1926,RGB
166,25,albrecht-durer,6,portrait,17,Northern_Renaissance,1382,1737,RGB
167,25,albrecht-durer,7,religious_painting,17,Northern_Renaissance,1382,1918,RGB
168,22,vincent-van-gogh,8,sketch_and_study,20,Post_Impressionism,1791,1382,RGB
169,1,boris-kustodiev,2,genre_painting,3,Art_Nouveau,1382,1400,RGB
170,25,albrecht-durer,7,religious_painting,17,Northern_Renaissance,1862,1382,RGB
171,10,ivan-shishkin,4,landscape,21,Realism,1382,1683,RGB
172,5,edgar-degas,8,sketch_and_study,12,Impressionism,2222,1382,RGB
173,14,nicholas-roerich,10,Unknown Genre,24,Symbolism,2047,1382,RGB
174,14,nicholas-roerich,4,landscape,24,Symbolism,2073,1382,RGB
175,15,pablo-picasso,5,nude_painting,9,Expressionism,1382,1850,RGB
176,22,vincent-van-gogh,9,still_life,20,Post_Impressionism,1382,1840,RGB
177,5,edgar-degas,5,nude_painting,12,Impressionism,1382,1944,RGB
178,3,childe-hassam,2,genre_painting,12,Impressionism,1382,1527,RGB
179,14,nicholas-roerich,10,Unknown Genre,3,Art_Nouveau,2036,1382,RGB
180,7,gustave-dore,3,illustration,23,Romanticism,1382,1720,RGB
181,25,albrecht-durer,8,sketch_and_study,17,Northern_Renaissance,1382,1865,RGB
182,11,john-singer-sargent,10,Unknown Genre,12,Impressionism,2081,1382,RGB
183,15,pablo-picasso,2,genre_painting,9,Expressionism,1645,1382,RGB
184,12,marc-chagall,2,genre_painting,7,Cubism,1382,1900,RGB
185,4,claude-monet,2,genre_painting,12,Impressionism,1730,1382,RGB
186,3,childe-hassam,5,nude_painting,12,Impressionism,1382,1873,RGB
187,14,nicholas-roerich,10,Unknown Genre,24,Symbolism,2039,1382,RGB
188,5,edgar-degas,2,genre_painting,12,Impressionism,2033,1382,RGB
189,15,pablo-picasso,6,portrait,7,Cubism,1382,1932,RGB
190,11,john-singer-sargent,2,genre_painting,21,Realism,1738,1382,RGB
191,8,ilya-repin,10,Unknown Genre,21,Realism,1968,1382,RGB
192,22,vincent-van-gogh,8,sketch_and_study,20,Post_Impressionism,2236,1382,RGB
193,20,rembrandt,10,Unknown Genre,4,Baroque,1381,1509,RGB
194,20,rembrandt,6,portrait,4,Baroque,1382,1762,RGB
195,17,pierre-auguste-renoir,5,nude_painting,12,Impressionism,1382,1648,RGB
196,14,nicholas-roerich,4,landscape,24,Symbolism,2122,1382,RGB
197,22,vincent-van-gogh,8,sketch_and_study,21,Realism,2092,1382,RGB
198,4,claude-monet,1,cityscape,12,Impressionism,2157,1382,RGB
199,22,vincent-van-gogh,6,portrait,20,Post_Impressionism,1382,1764,RGB
200,22,vincent-van-gogh,4,landscape,21,Realism,1767,1382,RGB
201,21,salvador-dali,5,nude_painting,7,Cubism,1382,1779,RGB
202,18,pyotr-konchalovsky,10,Unknown Genre,21,Realism,1708,1382,RGB
203,22,vincent-van-gogh,4,landscape,20,Post_Impressionism,1769,1382,RGB
204,7,gustave-dore,3,illustration,23,Romanticism,1382,1840,RGB
205,12,marc-chagall,7,religious_painting,15,Naive_Art_Primitivism,1382,1790,RGB
206,15,pablo-picasso,8,sketch_and_study,7,Cubism,1714,1382,RGB
207,13,martiros-saryan,4,landscape,9,Expressionism,1883,1382,RGB
208,9,ivan-aivazovsky,10,Unknown Genre,23,Romanticism,2225,1382,RGB
209,22,vincent-van-gogh,8,sketch_and_study,21,Realism,1382,1904,RGB
210,16,paul-cezanne,2,genre_painting,23,Romanticism,1883,1382,RGB
211,9,ivan-aivazovsky,1,cityscape,23,Romanticism,2008,1381,RGB
212,21,salvador-dali,2,genre_painting,7,Cubism,1382,1828,RGB
213,22,vincent-van-gogh,8,sketch_and_study,21,Realism,2258,1382,RGB
214,13,martiros-saryan,6,portrait,21,Realism,1382,1845,RGB
215,10,ivan-shishkin,8,sketch_and_study,21,Realism,1382,2097,RGB
216,4,claude-monet,10,Unknown Genre,12,Impressionism,1382,1904,RGB
217,18,pyotr-konchalovsky,8,sketch_and_study,7,Cubism,2137,1382,RGB
218,12,marc-chagall,2,genre_painting,15,Naive_Art_Primitivism,1382,2073,RGB
219,10,ivan-shishkin,4,landscape,21,Realism,1971,1382,RGB
220,2,camille-pissarro,4,landscape,12,Impressionism,1656,1382,RGB
221,18,pyotr-konchalovsky,10,Unknown Genre,21,Realism,1797,1382,RGB
222,7,gustave-dore,3,illustration,23,Romanticism,1382,1749,RGB
223,13,martiros-saryan,10,Unknown Genre,20,Post_Impressionism,1633,1381,RGB
224,18,pyotr-konchalovsky,10,Unknown Genre,20,Post_Impressionism,1755,1382,RGB
225,19,raphael-kirchner,2,genre_painting,3,Art_Nouveau,1382,2230,RGB
226,8,ilya-repin,6,portrait,21,Realism,1382,1683,RGB
227,22,vincent-van-gogh,4,landscape,21,Realism,1382,1873,RGB
228,4,claude-monet,4,landscape,12,Impressionism,1437,1382,RGB
229,15,pablo-picasso,2,genre_painting,9,Expressionism,1382,1877,RGB
230,11,john-singer-sargent,6,portrait,21,Realism,1382,1869,RGB
231,0,Unknown Artist,10,Unknown Genre,17,Northern_Renaissance,1826,1382,RGB
232,7,gustave-dore,3,illustration,23,Romanticism,1382,1727,RGB
233,6,eugene-boudin,1,cityscape,21,Realism,2180,1382,RGB
234,14,nicholas-roerich,10,Unknown Genre,3,Art_Nouveau,1442,1382,RGB
235,19,raphael-kirchner,2,genre_painting,3,Art_Nouveau,2153,1382,RGB
236,14,nicholas-roerich,8,sketch_and_study,21,Realism,1382,1670,RGB
237,1,boris-kustodiev,10,Unknown Genre,21,Realism,2152,1382,RGB
238,18,pyotr-konchalovsky,10,Unknown Genre,21,Realism,1618,1382,RGB
239,22,vincent-van-gogh,8,sketch_and_study,20,Post_Impressionism,1823,1382,RGB
