idx,artist_id,artist_name,genre_id,genre_name,style_id,style_name,width,height,image_mode
25182,0,Unknown Artist,7,religious_painting,11,High_Renaissance,1382,2820,RGB
31550,58,pietro-perugino,7,religious_painting,11,High_Renaissance,1382,2075,RGB
34042,77,titian,7,religious_painting,13,Mannerism_Late_Renaissance,1382,1571,RGB
56125,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,1382,2181,RGB
56401,77,titian,7,religious_painting,11,High_Renaissance,1382,1391,RGB
37422,0,Unknown Artist,2,genre_painting,4,Baroque,1382,1653,RGB
47245,0,Unknown Artist,2,genre_painting,22,Rococo,1382,1733,RGB
20894,69,raphael,8,sketch_and_study,11,High_Renaissance,1382,1951,RGB
44263,0,Unknown Artist,7,religious_painting,13,Mannerism_Late_Renaissance,1382,1776,RGB
21552,0,Unknown Artist,2,genre_painting,4,Baroque,1711,1382,RGB
37577,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,1829,1382,RGB
61990,0,Unknown Artist,8,sketch_and_study,8,Early_Renaissance,1382,2073,RGB
56862,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,1382,3617,RGB
49846,69,raphael,7,religious_painting,11,High_Renaissance,2772,1382,RGB
40469,67,tintoretto,7,religious_painting,13,Mannerism_Late_Renaissance,1382,1870,RGB
55980,38,fra-angelico,7,religious_painting,8,Early_Renaissance,1382,1937,RGB
26405,0,Unknown Artist,1,cityscape,22,Rococo,1849,1382,RGB
24638,0,Unknown Artist,7,religious_painting,4,Baroque,1382,2112,RGB
51673,0,Unknown Artist,2,genre_painting,4,Baroque,1382,1629,RGB
51445,69,raphael,7,religious_painting,11,High_Renaissance,2072,1382,RGB
75777,0,Unknown Artist,10,Unknown Genre,11,High_Renaissance,1901,1382,RGB
56706,121,el-greco,7,religious_painting,13,Mannerism_Late_Renaissance,1382,1636,RGB
40812,24,leonardo-da-vinci,6,portrait,11,High_Renaissance,1382,1628,RGB
68561,0,Unknown Artist,10,Unknown Genre,11,High_Renaissance,6608,1382,RGB
59668,0,Unknown Artist,4,landscape,22,Rococo,2186,1382,RGB
22357,0,Unknown Artist,7,religious_painting,11,High_Renaissance,2991,1382,RGB
33516,0,Unknown Artist,9,still_life,4,Baroque,1603,1382,RGB
63248,0,Unknown Artist,6,portrait,22,Rococo,1382,1748,RGB
42905,0,Unknown Artist,6,portrait,13,Mannerism_Late_Renaissance,1381,1893,RGB
26167,38,fra-angelico,7,religious_painting,8,Early_Renaissance,2839,1382,RGB
18017,25,albrecht-durer,2,genre_painting,17,Northern_Renaissance,7735,1382,RGB
29414,0,Unknown Artist,7,religious_painting,11,High_Renaissance,1382,1679,RGB
55806,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,2859,1382,RGB
48287,38,fra-angelico,7,religious_painting,8,Early_Renaissance,1382,1647,RGB
58562,0,Unknown Artist,1,cityscape,22,Rococo,2379,1382,RGB
73047,0,Unknown Artist,10,Unknown Genre,11,High_Renaissance,1382,2040,RGB
8522,20,rembrandt,7,religious_painting,4,Baroque,1382,1783,RGB
71224,0,Unknown Artist,10,Unknown Genre,4,Baroque,2280,1382,RGB
37582,87,michelangelo,5,nude_painting,11,High_Renaissance,1382,1888,RGB
70518,0,Unknown Artist,10,Unknown Genre,17,Northern_Renaissance,1382,2926,RGB
65219,0,Unknown Artist,6,portrait,13,Mannerism_Late_Renaissance,1382,3446,RGB
36425,69,raphael,7,religious_painting,11,High_Renaissance,1382,2084,RGB
55922,0,Unknown Artist,7,religious_painting,13,Mannerism_Late_Renaissance,1382,1399,RGB
75017,0,Unknown Artist,10,Unknown Genre,13,Mannerism_Late_Renaissance,2336,1382,RGB
35390,69,raphael,7,religious_painting,11,High_Renaissance,1382,1747,RGB
18140,0,Unknown Artist,10,Unknown Genre,17,Northern_Renaissance,1382,1747,RGB
55726,67,tintoretto,7,religious_painting,13,Mannerism_Late_Renaissance,2118,1382,RGB
49965,0,Unknown Artist,6,portrait,11,High_Renaissance,1382,1475,RGB
45028,0,Unknown Artist,7,religious_painting,11,High_Renaissance,1382,2121,RGB
23384,82,paolo-veronese,7,religious_painting,13,Mannerism_Late_Renaissance,2133,1382,RGB
657,20,rembrandt,7,religious_painting,4,Baroque,1858,1382,RGB
31078,117,hans-holbein-the-younger,6,portrait,17,Northern_Renaissance,1382,1775,RGB
64205,0,Unknown Artist,6,portrait,22,Rococo,1382,1788,RGB
42778,87,michelangelo,8,sketch_and_study,11,High_Renaissance,1382,2723,RGB
74558,0,Unknown Artist,10,Unknown Genre,22,Rococo,1382,2355,RGB
11963,20,rembrandt,6,portrait,4,Baroque,1382,1731,RGB
66289,0,Unknown Artist,6,portrait,17,Northern_Renaissance,1382,2335,RGB
52847,77,titian,6,portrait,11,High_Renaissance,1382,2118,RGB
34661,38,fra-angelico,7,religious_painting,8,Early_Renaissance,1382,1757,RGB
56799,0,Unknown Artist,7,religious_painting,17,Northern_Renaissance,1382,1910,RGB
28196,0,Unknown Artist,9,still_life,4,Baroque,2273,1382,RGB
43033,0,Unknown Artist,7,religious_painting,17,Northern_Renaissance,1381,1715,RGB
66211,24,leonardo-da-vinci,6,portrait,8,Early_Renaissance,1382,1467,RGB
23143,0,Unknown Artist,7,religious_painting,4,Baroque,1382,1638,RGB
56644,0,Unknown Artist,7,religious_painting,11,High_Renaissance,1382,1592,RGB
21678,67,tintoretto,6,portrait,13,Mannerism_Late_Renaissance,1842,1382,RGB
78698,0,Unknown Artist,10,Unknown Genre,4,Baroque,1382,1997,RGB
42514,38,fra-angelico,7,religious_painting,8,Early_Renaissance,1382,4090,RGB
56529,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,2856,1382,RGB
7222,25,albrecht-durer,8,sketch_and_study,17,Northern_Renaissance,1382,1596,RGB
30058,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,1842,1382,RGB
24412,38,fra-angelico,7,religious_painting,8,Early_Renaissance,1382,2009,RGB
46182,58,pietro-perugino,7,religious_painting,11,High_Renaissance,1598,1382,RGB
23386,38,fra-angelico,7,religious_painting,8,Early_Renaissance,1382,1696,RGB
52497,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,1382,1794,RGB
47146,83,joshua-reynolds,6,portrait,22,Rococo,1382,1761,RGB
