idx,artist_id,artist_name,genre_id,genre_name,style_id,style_name,width,height,image_mode,phash,duplicate_group,duplicate_group_size
25182,0,Unknown Artist,7,religious_painting,11,High_Renaissance,1382,2820,RGB,dcfb3327044c9933,0,1
31550,58,pietro-perugino,7,religious_painting,11,High_Renaissance,1382,2075,RGB,f6a8fda6c1809794,1,1
34042,77,titian,7,religious_painting,13,Mannerism_Late_Renaissance,1382,1571,RGB,b79649b41a493c5e,2,1
56125,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,1382,2181,RGB,b1f0aeb353422ee1,3,1
56401,77,titian,7,religious_painting,11,High_Renaissance,1382,1391,RGB,99d947366a64245f,4,1
37422,0,Unknown Artist,2,genre_painting,4,Baroque,1382,1653,RGB,d8f82d0b83671cf8,5,1
47245,0,Unknown Artist,2,genre_painting,22,Rococo,1382,1733,RGB,cd32b14cb3552cf1,6,1
20894,69,raphael,8,sketch_and_study,11,High_Renaissance,1382,1951,RGB,e51c9069de276696,7,1
44263,0,Unknown Artist,7,religious_painting,13,Mannerism_Late_Renaissance,1382,1776,RGB,aa842fa9c26ee743,8,1
21552,0,Unknown Artist,2,genre_painting,4,Baroque,1711,1382,RGB,8d85c393b43a4be9,9,1
37577,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,1829,1382,RGB,83f0cf1c8f4d66c8,10,1
61990,0,Unknown Artist,8,sketch_and_study,8,Early_Renaissance,1382,2073,RGB,eca5c214bb674749,11,1
56862,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,1382,3617,RGB,e6ac12d7a11a6e39,12,1
49846,69,raphael,7,religious_painting,11,High_Renaissance,2772,1382,RGB,a0cb27b2387c1f4b,13,1
40469,67,tintoretto,7,religious_painting,13,Mannerism_Late_Renaissance,1382,1870,RGB,dada529ecc3391c1,14,1
55980,38,fra-angelico,7,religious_painting,8,Early_Renaissance,1382,1937,RGB,fb00883b257fc4f2,15,1
26405,0,Unknown Artist,1,cityscape,22,Rococo,1849,1382,RGB,9095af6a685b56c5,16,1
24638,0,Unknown Artist,7,religious_painting,4,Baroque,1382,2112,RGB,9cc9966e2d7221e3,17,1
51673,0,Unknown Artist,2,genre_painting,4,Baroque,1382,1629,RGB,f6e59514b86b4f40,18,1
51445,69,raphael,7,religious_painting,11,High_Renaissance,2072,1382,RGB,ee3245bd137601d5,19,1
75777,0,Unknown Artist,10,Unknown Genre,11,High_Renaissance,1901,1382,RGB,ab2ff617c95081d1,20,1
56706,121,el-greco,7,religious_painting,13,Mannerism_Late_Renaissance,1382,1636,RGB,f5421aed3e654893,21,1
40812,24,leonardo-da-vinci,6,portrait,11,High_Renaissance,1382,1628,RGB,ab231a38bac361d7,22,1
68561,0,Unknown Artist,10,Unknown Genre,11,High_Renaissance,6608,1382,RGB,84c4e4f1333c3d1f,23,1
59668,0,Unknown Artist,4,landscape,22,Rococo,2186,1382,RGB,95a86a75b1b84e17,24,1
22357,0,Unknown Artist,7,religious_painting,11,High_Renaissance,2991,1382,RGB,947b154ca3714ed6,25,1
33516,0,Unknown Artist,9,still_life,4,Baroque,1603,1382,RGB,b500fe7199651d55,26,1
63248,0,Unknown Artist,6,portrait,22,Rococo,1382,1748,RGB,ccb873632c9c9a66,27,1
42905,0,Unknown Artist,6,portrait,13,Mannerism_Late_Renaissance,1381,1893,RGB,c03f3cb0b1732765,28,1
26167,38,fra-angelico,7,religious_painting,8,Early_Renaissance,2839,1382,RGB,ceb6a09357e82cf0,29,1
18017,25,albrecht-durer,2,genre_painting,17,Northern_Renaissance,7735,1382,RGB,8781783f9c60f30f,30,1
29414,0,Unknown Artist,7,religious_painting,11,High_Renaissance,1382,1679,RGB,c4043a732f3c35cf,31,1
55806,0,Unknown Artist,7,religious_painting,8,Early_Renaissance,2859,1382,RGB,8592f266646c49fb,32,1
48287,38,fra-angelico,7,religious_painting,8,Early_Renaissance,1382,1647,RGB,967dc1c7fa72c104,33,1
58562,0,Unknown Artist,1,cityscape,22,Rococo,2379,1382,RGB,97d5ce4835b64ac1,34,1
73047,0,Unknown Artist,10,Unknown Genre,11,High_Renaissance,1382,2040,RGB,e6f5a49298a509de,35,1
8522,20,rembrandt,7,religious_painting,4,Baroque,1382,1783,RGB,bb85b23acd63c462,36,1
71224,0,Unknown Artist,10,Unknown Genre,4,Baroque,2280,1382,RGB,819f7a682567e686,37,1
37582,87,michelangelo,5,nude_painting,11,High_Renaissance,1382,1888,RGB,cfbfd30112e4874c,38,1
70518,0,Unknown Artist,10,Unknown Genre,17,Northern_Renaissance,1382,2926,RGB,9b18256f32f34c8e,39,1
65219,0,Unknown Artist,6,portrait,13,Mannerism_Late_Renaissance,1382,3446,RGB,cbcbf0e384b0f2a4,40,1
36425,69,raphael,7,religious_painting,11,High_Renaissance,1382,2084,RGB,e3f80917e3224f72,41,1
55922,0,Unknown Artist,7,religious_painting,13,Mannerism_Late_Renaissance,1382,1399,RGB,be4da196d0e38633,42,1
75017,0,Unknown Artist,10,Unknown Genre,13,Mannerism_Late_Renaissance,2336,1382,RGB,e53eeaf19106d143,43,1
35390,69,raphael,7,religious_painting,11,High_Renaissance,1382,1747,RGB,ef32594d941c3353,44,1
18140,0,Unknown Artist,10,Unknown Genre,17,Northern_Renaissance,1382,1747,RGB,e18e266e0c72db39,45,1
55726,67,tintoretto,7,religious_painting,13,Mannerism_Late_Renaissance,2118,1382,RGB,df75ca202791f04e,46,1
49965,0,Unknown Artist,6,portrait,11,High_Renaissance,1382,1475,RGB,b53a1a15e5f56306,47,1
45028,0,Unknown Artist,7,religious_painting,11,High_Renaissance,1382,2121,RGB,adfaaeb4a8e4e081,48,1
23384,82,paolo-veronese,7,religious_painting,13,Mannerism_Late_Renaissance,2133,1382,RGB,8fe5632464aa8e9d,49,1
657,20,rembrandt,7,religious_painting,4,Baroque,1858,1382,RGB,b7288dd0da899d4d,50,1
31078,117,hans-holbein-the-younger,6,portrait,17,Northern_Renaissance,1382,1775,RGB,9be9b466e4d38898,51,1
64205,0,Unknown Artist,6,portrait,22,Rococo,1382,1788,RGB,8c8d525a69f51736,52,1
42778,87,michelangelo,8,sketch_and_study,11,High_Renaissance,1382,2723,RGB,b732c94692d9b748,53,1
74558,0,Unknown Artist,10,Unknown Genre,22,Rococo,1382,2355,RGB,8c334e4c31a75bcd,54,1
11963,20,rembrandt,6,portrait,4,Baroque,1382,1731,RGB,8c8c687993e66769,55,1
66289,0,Unknown Artist,6,portrait,17,Northern_Renaissance,1382,2335,RGB,94387ae0a76a786b,56,1
52847,77,titian,6,portrait,11,High_Renaissance,1382,2118,RGB,868c39b2e74bb331,57,1
34661,38,fra-angelico,7,religious_painting,8,Early_Renaissance,1382,1757,RGB,8a7755c65cca30b3,58,1
56799,0,Unknown Artist,7,religious_painting,17,Northern_Renaissance,1382,1910,RGB,bc11a374d44bd335,59,1
28196,0,Unknown Artist,9,still_life,4,Baroque,2273,1382,RGB,e4d3cfec92319131,60,1
43033,0,Unknown Artist,7,religious_painting,17,Northern_Renaissance,1381,1715,RGB,c53d6a4b5c5ce350,61,1
