artist_name,count
Unknown Artist,41914
vincent-van-gogh,1889
nicholas-roerich,1819
pierre-auguste-renoir,1400
claude-monet,1334
pyotr-konchalovsky,919
camille-pissarro,887
john-singer-sargent,784
rembrandt,776
marc-chagall,765
pablo-picasso,762
gustave-dore,753
albrecht-durer,695
boris-kustodiev,633
edgar-degas,611
paul-cezanne,579
ivan-aivazovsky,577
martiros-saryan,575
eugene-boudin,555
childe-hassam,550
ilya-repin,539
ivan-shishkin,520
raphael-kirchner,516
salvador-dali,479
alfred-sisley,464
camille-corot,456
isaac-levitan,424
henri-matisse,415
maurice-prendergast,362
paul-gauguin,359
william-merritt-chase,354
amedeo-modigliani,344
james-tissot,341
ernst-ludwig-kirchner,340
joaquã­n-sorolla,335
zinaida-serebriakova,329
henri-de-toulouse-lautrec,324
konstantin-makovsky,324
sam-francis,317
mary-cassatt,293
peter-paul-rubens,259
gustave-loiseau,256
david-burliuk,248
konstantin-korovin,247
thomas-eakins,240
vasily-surikov,238
lucian-freud,234
aleksey-savrasov,230
egon-schiele,226
berthe-morisot,225
giovanni-boldini,225
vasily-polenov,225
fernand-leger,223
gustave-courbet,217
orest-kiprensky,216
edouard-cortes,214
john-henry-twachtman,214
edouard-manet,210
georges-braque,208
kuzma-petrov-vodkin,205
francisco-goya,205
ferdinand-hodler,204
titian,204
joshua-reynolds,200
utagawa-kuniyoshi,199
nikolay-bogdanov-belsky,198
juan-gris,196
konstantin-somov,194
ilya-mashkov,193
valentin-serov,191
tintoretto,187
gustave-caillebotte,182
hieronymus-bosch,182
lucas-cranach-the-elder,179
vasily-perov,178
frans-hals,176
pietro-perugino,173
ivan-bilibin,171
bartolome-esteban-murillo,171
katsushika-hokusai,171
antoine-blanchard,170
felix-vallotton,169
theo-van-rysselberghe,169
fra-angelico,167
jan-matejko,167
sir-lawrence-alma-tadema,166
vasily-vereshchagin,166
thomas-gainsborough,164
leonardo-da-vinci,164
odilon-redon,164
anthony-van-dyck,163
georges-seurat,162
arkhip-kuindzhi,161
aubrey-beardsley,161
el-greco,159
gene-davis,155
ivan-kramskoy,154
hans-memling,151
fernando-botero,151
edvard-munch,150
mstislav-dobuzhinsky,149
karl-bryullov,145
raphael,143
pierre-bonnard,142
william-turner,141
henri-martin,140
dante-gabriel-rossetti,139
joseph-wright,135
james-mcneill-whistler,134
raoul-dufy,133
viktor-vasnetsov,132
paolo-veronese,130
michelangelo,129
m.c.-escher,126
hans-holbein-the-younger,121
maxime-maufra,119
niko-pirosmani,113
andy-warhol,107
henri-fantin-latour,105
gustav-klimt,105
mikhail-vrubel,95
jacob-jordaens,94
jacek-malczewski,91
koloman-moser,85
edward-burne-jones,84
gustave-moreau,83
eugene-delacroix,75
mikalojus-ciurlionis,48
canaletto,42
