genre_pair,count,share,source_style,target_style,edge_label
religious_painting → religious_painting,417,0.5219023779724656,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
religious_painting → Unknown Genre,73,0.09136420525657071,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
sketch_and_study → sketch_and_study,73,0.09136420525657071,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
portrait → portrait,68,0.0851063829787234,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
Unknown Genre → Unknown Genre,31,0.03879849812265332,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
religious_painting → portrait,29,0.03629536921151439,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
Unknown Genre → religious_painting,20,0.025031289111389236,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
sketch_and_study → Unknown Genre,16,0.02002503128911139,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
Unknown Genre → sketch_and_study,16,0.02002503128911139,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
religious_painting → nude_painting,8,0.010012515644555695,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
portrait → religious_painting,7,0.008760951188986232,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
sketch_and_study → religious_painting,7,0.008760951188986232,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
portrait → Unknown Genre,5,0.006257822277847309,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
portrait → sketch_and_study,5,0.006257822277847309,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
religious_painting → genre_painting,5,0.006257822277847309,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
sketch_and_study → nude_painting,4,0.0050062578222778474,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
sketch_and_study → portrait,4,0.0050062578222778474,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
religious_painting → sketch_and_study,3,0.0037546933667083854,Early_Renaissance,High_Renaissance,Early Renaissance → High Renaissance
