source_style,target_style,similarity,source_idx,target_idx,source_artist,target_artist
Early_Renaissance,High_Renaissance,0.9378535747528076,32563,25182,pietro-perugino,Unknown Artist
Early_Renaissance,High_Renaissance,0.9042578935623169,40052,25182,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8920601010322571,47861,25182,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8891845345497131,50266,25182,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.8874123096466064,29110,25182,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8856988549232483,56992,31550,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8776058554649353,57022,31550,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.863760232925415,45569,31550,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8570229411125183,48011,31550,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.852704644203186,48904,31550,Unknown Artist,pietro-perugino
High_Renaissance,Mannerism_Late_Renaissance,0.8957698941230774,34153,34042,raphael,titian
High_Renaissance,Mannerism_Late_Renaissance,0.8843737244606018,37872,34042,raphael,titian
High_Renaissance,Mannerism_Late_Renaissance,0.8662909865379333,31767,34042,raphael,titian
High_Renaissance,Mannerism_Late_Renaissance,0.8594636917114258,49571,34042,titian,titian
Northern_Renaissance,High_Renaissance,0.8217867612838745,18009,56401,albrecht-durer,titian
Northern_Renaissance,High_Renaissance,0.8082980513572693,323,56401,albrecht-durer,titian
Northern_Renaissance,High_Renaissance,0.8071420192718506,29110,56401,Unknown Artist,titian
Early_Renaissance,High_Renaissance,0.8036293983459473,25846,56401,Unknown Artist,titian
Early_Renaissance,High_Renaissance,0.7981131076812744,43150,56401,Unknown Artist,titian
High_Renaissance,Mannerism_Late_Renaissance,0.8491804599761963,42440,44263,pietro-perugino,Unknown Artist
High_Renaissance,Mannerism_Late_Renaissance,0.8430105447769165,45542,44263,raphael,Unknown Artist
Early_Renaissance,Mannerism_Late_Renaissance,0.8380471467971802,29359,44263,fra-angelico,Unknown Artist
Early_Renaissance,Mannerism_Late_Renaissance,0.836844265460968,23140,44263,Unknown Artist,Unknown Artist
Early_Renaissance,Mannerism_Late_Renaissance,0.8319832682609558,39442,44263,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.903457760810852,34989,49846,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.8936787843704224,29359,49846,fra-angelico,raphael
Early_Renaissance,High_Renaissance,0.8890944123268127,53073,49846,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.8821684718132019,56018,49846,fra-angelico,raphael
Early_Renaissance,High_Renaissance,0.8804746866226196,56901,49846,Unknown Artist,raphael
Early_Renaissance,Mannerism_Late_Renaissance,0.8576543927192688,25789,40469,Unknown Artist,tintoretto
