source_style,target_style,similarity,source_idx,target_idx,source_artist,target_artist,source_genre,target_genre
Early_Renaissance,High_Renaissance,0.9378535747528076,32563,25182,pietro-perugino,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8856988549232483,56992,31550,Unknown Artist,pietro-perugino,religious_painting,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8957698941230774,34153,34042,raphael,titian,religious_painting,religious_painting
Northern_Renaissance,High_Renaissance,0.8217867612838745,18009,56401,albrecht-durer,titian,religious_painting,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8491804599761963,42440,44263,pietro-perugino,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.903457760810852,34989,49846,Unknown Artist,raphael,religious_painting,religious_painting
Early_Renaissance,Mannerism_Late_Renaissance,0.8576543927192688,25789,40469,Unknown Artist,tintoretto,religious_painting,religious_painting
High_Renaissance,Baroque,0.9273122549057007,31767,24638,raphael,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.867507815361023,43628,51445,Unknown Artist,raphael,religious_painting,religious_painting
Early_Renaissance,Mannerism_Late_Renaissance,0.8337612152099609,43952,56706,Unknown Artist,el-greco,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8544750809669495,45961,22357,fra-angelico,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8647423982620239,25751,29414,Unknown Artist,Unknown Artist,religious_painting,religious_painting
Northern_Renaissance,Baroque,0.8533651232719421,13171,8522,albrecht-durer,rembrandt,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.948014497756958,43726,36425,Unknown Artist,raphael,religious_painting,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8412754535675049,46281,55922,pietro-perugino,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.890618085861206,40864,35390,Unknown Artist,raphael,religious_painting,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8897733688354492,22541,55726,raphael,tintoretto,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.9033628106117249,22603,45028,Unknown Artist,Unknown Artist,religious_painting,religious_painting
Northern_Renaissance,Mannerism_Late_Renaissance,0.8974580764770508,56458,23384,Unknown Artist,paolo-veronese,religious_painting,religious_painting
Northern_Renaissance,Baroque,0.8425465226173401,12625,657,albrecht-durer,rembrandt,religious_painting,religious_painting
Early_Renaissance,Northern_Renaissance,0.8630667924880981,56569,56799,fra-angelico,Unknown Artist,religious_painting,religious_painting
High_Renaissance,Northern_Renaissance,0.8507745862007141,37361,43033,Unknown Artist,Unknown Artist,religious_painting,religious_painting
Mannerism_Late_Renaissance,Baroque,0.8793535828590393,37729,23143,el-greco,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8948079347610474,25709,56644,pietro-perugino,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8552446961402893,56326,46182,pietro-perugino,pietro-perugino,religious_painting,religious_painting
Northern_Renaissance,Mannerism_Late_Renaissance,0.8326815366744995,44553,56453,lucas-cranach-the-elder,el-greco,religious_painting,religious_painting
Early_Renaissance,Northern_Renaissance,0.8892882466316223,56529,56031,Unknown Artist,hans-holbein-the-younger,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8306906223297119,26308,55984,Unknown Artist,michelangelo,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.9258420467376709,35073,56970,fra-angelico,Unknown Artist,religious_painting,religious_painting
High_Renaissance,Northern_Renaissance,0.8738875389099121,56035,56460,titian,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,Northern_Renaissance,0.8302275538444519,56407,8111,Unknown Artist,albrecht-durer,religious_painting,religious_painting
Northern_Renaissance,Mannerism_Late_Renaissance,0.9023867845535278,34406,56983,Unknown Artist,titian,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.9225656986236572,56355,40473,Unknown Artist,pietro-perugino,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8989762663841248,19614,28884,pietro-perugino,pietro-perugino,religious_painting,religious_painting
Mannerism_Late_Renaissance,Rococo,0.8828486800193787,56565,43987,paolo-veronese,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,Mannerism_Late_Renaissance,0.9206157922744751,20738,49582,Unknown Artist,tintoretto,religious_painting,religious_painting
Mannerism_Late_Renaissance,Baroque,0.856566846370697,47149,28150,Unknown Artist,bartolome-esteban-murillo,religious_painting,religious_painting
