style_name,count
Impressionism,13060
Realism,10733
Romanticism,7019
Expressionism,6736
Post_Impressionism,6450
Symbolism,4528
Art_Nouveau,4334
Baroque,4240
Abstract_Expressionism,2782
Northern_Renaissance,2552
Naive_Art_Primitivism,2405
Cubism,2235
Rococo,2089
Color_Field_Painting,1615
Pop_Art,1483
Early_Renaissance,1391
High_Renaissance,1343
Minimalism,1337
Mannerism_Late_Renaissance,1279
Ukiyo_e,1167
Fauvism,934
Pointillism,513
Contemporary_Realism,481
New_Realism,314
Synthetic_Cubism,216
Analytical_Cubism,110
Action_painting,98
