source_style,target_style,similarity,source_idx,target_idx,source_artist,target_artist,source_genre,target_genre,source_duplicate_group,target_duplicate_group
Early_Renaissance,High_Renaissance,0.9378535747528076,32563,25182,pietro-perugino,Unknown Artist,religious_painting,religious_painting,3401,0
Early_Renaissance,High_Renaissance,0.9042578935623169,40052,25182,Unknown Artist,Unknown Artist,religious_painting,religious_painting,3698,0
Early_Renaissance,High_Renaissance,0.8920601010322571,47861,25182,Unknown Artist,Unknown Artist,religious_painting,religious_painting,4897,0
Early_Renaissance,High_Renaissance,0.8891845345497131,50266,25182,Unknown Artist,Unknown Artist,religious_painting,religious_painting,678,0
Northern_Renaissance,High_Renaissance,0.8874123096466064,29110,25182,Unknown Artist,Unknown Artist,religious_painting,religious_painting,5090,0
Early_Renaissance,High_Renaissance,0.8856988549232483,56992,31550,Unknown Artist,pietro-perugino,religious_painting,religious_painting,902,1
Early_Renaissance,High_Renaissance,0.8776058554649353,57022,31550,Unknown Artist,pietro-perugino,religious_painting,religious_painting,4517,1
Early_Renaissance,High_Renaissance,0.863760232925415,45569,31550,Unknown Artist,pietro-perugino,religious_painting,religious_painting,7081,1
Early_Renaissance,High_Renaissance,0.8570229411125183,48011,31550,Unknown Artist,pietro-perugino,religious_painting,religious_painting,266,1
Early_Renaissance,High_Renaissance,0.8543371558189392,68566,31550,Unknown Artist,pietro-perugino,Unknown Genre,religious_painting,2524,1
High_Renaissance,Mannerism_Late_Renaissance,0.8957698941230774,34153,34042,raphael,titian,religious_painting,religious_painting,5955,2
High_Renaissance,Mannerism_Late_Renaissance,0.8843737244606018,37872,34042,raphael,titian,religious_painting,religious_painting,3092,2
High_Renaissance,Mannerism_Late_Renaissance,0.8773210644721985,69785,34042,Unknown Artist,titian,Unknown Genre,religious_painting,2426,2
High_Renaissance,Mannerism_Late_Renaissance,0.8713045120239258,69485,34042,Unknown Artist,titian,Unknown Genre,religious_painting,3040,2
High_Renaissance,Mannerism_Late_Renaissance,0.8662909865379333,31767,34042,raphael,titian,religious_painting,religious_painting,7072,2
Northern_Renaissance,High_Renaissance,0.8337516188621521,5071,56401,albrecht-durer,titian,portrait,religious_painting,2618,4
Early_Renaissance,High_Renaissance,0.8335576057434082,49320,56401,Unknown Artist,titian,portrait,religious_painting,5216,4
Northern_Renaissance,High_Renaissance,0.8217867612838745,18009,56401,albrecht-durer,titian,religious_painting,religious_painting,3741,4
