source_style,target_style,similarity,source_idx,target_idx,source_artist,target_artist,source_genre,target_genre
Early_Renaissance,High_Renaissance,0.9378535747528076,32563,25182,pietro-perugino,Unknown Artist,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.8856988549232483,56992,31550,Unknown Artist,pietro-perugino,religious_painting,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8957698941230774,34153,34042,raphael,titian,religious_painting,religious_painting
Northern_Renaissance,High_Renaissance,0.8337516188621521,5071,56401,albrecht-durer,titian,portrait,religious_painting
High_Renaissance,Baroque,0.833306610584259,46517,37422,titian,Unknown Artist,religious_painting,genre_painting
Baroque,Rococo,0.8441266417503357,51822,47245,Unknown Artist,Unknown Artist,genre_painting,genre_painting
Early_Renaissance,High_Renaissance,0.9131039977073669,61990,20894,Unknown Artist,raphael,sketch_and_study,sketch_and_study
High_Renaissance,Mannerism_Late_Renaissance,0.8491804599761963,42440,44263,pietro-perugino,Unknown Artist,religious_painting,religious_painting
Northern_Renaissance,Baroque,0.8200487494468689,30167,21552,Unknown Artist,Unknown Artist,genre_painting,genre_painting
Early_Renaissance,High_Renaissance,0.903457760810852,34989,49846,Unknown Artist,raphael,religious_painting,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8581973910331726,68561,40469,Unknown Artist,tintoretto,Unknown Genre,religious_painting
Baroque,Rococo,0.8788667321205139,26732,26405,Unknown Artist,Unknown Artist,cityscape,cityscape
High_Renaissance,Baroque,0.9273122549057007,31767,24638,raphael,Unknown Artist,religious_painting,religious_painting
High_Renaissance,Baroque,0.8400605320930481,52759,51673,Unknown Artist,Unknown Artist,religious_painting,genre_painting
Early_Renaissance,High_Renaissance,0.867507815361023,43628,51445,Unknown Artist,raphael,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.9025425314903259,68173,75777,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre
Early_Renaissance,Mannerism_Late_Renaissance,0.8337612152099609,43952,56706,Unknown Artist,el-greco,religious_painting,religious_painting
Early_Renaissance,High_Renaissance,0.9086423516273499,21002,40812,leonardo-da-vinci,leonardo-da-vinci,portrait,portrait
Early_Renaissance,High_Renaissance,0.8833170533180237,44431,68561,Unknown Artist,Unknown Artist,religious_painting,Unknown Genre
Baroque,Rococo,0.8631480932235718,78700,59668,Unknown Artist,Unknown Artist,Unknown Genre,landscape
Early_Renaissance,High_Renaissance,0.8544750809669495,45961,22357,fra-angelico,Unknown Artist,religious_painting,religious_painting
High_Renaissance,Baroque,0.8392874598503113,56806,33516,pietro-perugino,Unknown Artist,religious_painting,still_life
Baroque,Rococo,0.8779123425483704,769,63248,rembrandt,Unknown Artist,portrait,portrait
High_Renaissance,Mannerism_Late_Renaissance,0.8493732810020447,63327,42905,raphael,Unknown Artist,portrait,portrait
High_Renaissance,Northern_Renaissance,0.8642646670341492,39859,18017,leonardo-da-vinci,albrecht-durer,sketch_and_study,genre_painting
Early_Renaissance,High_Renaissance,0.8647423982620239,25751,29414,Unknown Artist,Unknown Artist,religious_painting,religious_painting
Baroque,Rococo,0.8501390218734741,78706,58562,Unknown Artist,Unknown Artist,Unknown Genre,cityscape
Northern_Renaissance,High_Renaissance,0.8508399724960327,18147,73047,albrecht-durer,Unknown Artist,nude_painting,Unknown Genre
Northern_Renaissance,Baroque,0.8533651232719421,13171,8522,albrecht-durer,rembrandt,religious_painting,religious_painting
Northern_Renaissance,Baroque,0.802091658115387,9407,71224,albrecht-durer,Unknown Artist,landscape,Unknown Genre
Early_Renaissance,High_Renaissance,0.818130373954773,31136,37582,Unknown Artist,michelangelo,sketch_and_study,nude_painting
High_Renaissance,Northern_Renaissance,0.8938743472099304,71698,70518,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre
Early_Renaissance,Mannerism_Late_Renaissance,0.8757537603378296,38091,65219,leonardo-da-vinci,Unknown Artist,religious_painting,portrait
Early_Renaissance,High_Renaissance,0.948014497756958,43726,36425,Unknown Artist,raphael,religious_painting,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.8412754535675049,46281,55922,pietro-perugino,Unknown Artist,religious_painting,religious_painting
High_Renaissance,Mannerism_Late_Renaissance,0.9195356369018555,40419,75017,michelangelo,Unknown Artist,religious_painting,Unknown Genre
Early_Renaissance,High_Renaissance,0.890618085861206,40864,35390,Unknown Artist,raphael,religious_painting,religious_painting
High_Renaissance,Northern_Renaissance,0.8333308100700378,27760,18140,leonardo-da-vinci,Unknown Artist,sketch_and_study,Unknown Genre
