idx,artist,genre,style
0,22,4,21
1,20,7,4
2,16,6,20
3,17,2,12
4,9,10,23
5,1,2,3
6,22,10,21
7,9,4,23
8,25,7,17
9,11,6,21
10,9,4,23
11,14,2,24
12,14,4,24
13,1,6,21
14,17,6,12
15,12,9,15
16,22,8,21
17,7,3,23
18,9,4,23
19,7,3,23
20,20,8,4
21,18,4,21
22,17,1,12
23,13,8,9
24,20,6,4
25,4,1,12
26,14,4,24
27,13,10,9
28,10,8,21
29,22,5,21
30,22,6,21
31,25,7,17
32,16,9,20
33,12,10,15
34,15,6,9
35,9,4,23
36,12,7,15
37,14,10,3
38,19,5,3
39,20,6,4
40,17,9,12
41,8,6,21
42,14,8,24
43,6,4,12
44,17,9,12
45,21,2,9
46,25,6,17
47,16,4,20
48,22,8,21
49,15,2,20
50,16,6,20
51,19,2,3
52,22,8,21
53,21,10,12
54,16,4,20
55,20,6,4
56,1,1,21
57,16,4,12
58,1,5,21
59,14,4,24
60,25,6,17
61,25,2,17
62,7,3,23
63,14,10,3
64,11,2,21
65,9,10,23
66,7,3,23
67,17,6,12
68,12,2,15
69,8,7,21
70,25,6,17
71,4,4,12
72,22,2,21
73,21,7,24
74,5,6,12
75,17,6,12
76,3,1,12
77,16,4,12
78,4,4,12
79,2,1,12
80,22,4,20
81,4,2,12
82,7,3,23
83,14,4,24
84,17,10,12
85,4,1,12
86,11,1,12
87,18,2,20
88,1,1,3
89,17,5,12
90,16,2,12
91,12,10,9
92,5,4,12
93,8,6,21
94,5,4,12
95,14,4,24
96,15,2,12
97,2,4,12
98,20,10,4
99,15,9,7
100,25,2,17
101,14,4,24
102,18,9,9
103,15,10,7
104,21,4,20
105,14,8,24
106,1,5,3
107,9,4,23
108,15,9,7
109,14,2,24
110,22,4,20
111,20,10,4
112,14,4,24
113,22,10,21
114,20,2,4
115,18,2,20
116,3,4,12
117,18,4,21
118,1,8,21
119,6,1,12
120,9,7,23
121,12,3,15
122,4,1,12
123,7,3,23
124,18,4,21
125,25,6,17
126,3,4,12
127,20,8,4
128,22,8,20
129,15,2,20
130,7,3,23
131,8,6,21
132,2,4,21
133,22,2,21
134,17,4,12
135,12,2,15
136,10,4,21
137,1,2,3
138,14,4,24
139,12,3,15
140,22,9,21
141,4,4,12
142,14,8,24
143,11,1,12
144,18,4,21
145,18,10,21
